ID,place,name,lon,lat,UTC_milk,fresh,yogurt,icecream,powder,other
1,齐齐哈尔生产基地,蒙牛乳业,124.074459,47.406978,1,0,0,0,0,0
,齐齐哈尔生产基地,蒙牛乳业有限公司,123.946159,47.388969,1,0,0,0,0,0
2,尚志生产基地,蒙牛乳业尚志有限公司,127.98233,45.197285,1,0,0,0,0,0
,尚志生产基地,蒙牛乳业鲜奶生产基地利洪奶牛场,126.420466,45.685782,0,1,0,0,0,0
3,乌兰浩特生产基地,蒙牛乳业乌兰浩特有限责任公司,122.139706,46.075856,1,0,0,0,0,0
4,通辽（科尔沁）生产基地,蒙牛乳业科尔沁有限责任公司,122.206239,43.680831,1,0,1,0,0,0
5,沈阳生产基地,蒙牛乳业(沈阳)有限责任公司,123.535677,41.933428,1,0,1,1,0,0
,沈阳生产基地,沈阳蒙牛乳业有限公司,123.424779,41.844936,1,0,1,1,0,0
6,唐山生产基地,蒙牛唐山生产基地,118.238698,39.738202,1,0,0,0,0,0
7,滦南生产基地,蒙牛乳业(滦南公司),118.66964,39.495417,1,0,0,0,0,0
8,北京生产基地,蒙牛高科乳制品(北京)有限责任公司,116.782756,39.863283,1,0,0,1,0,0
9,天津生产基地,天津蒙牛乳业,116.827899,39.552261,1,0,1,1,0,0
10,衡水生产基地,蒙牛乳业衡水有限公司,115.892282,38.083216,1,0,0,0,0,0
11,保定生产基地,蒙牛乳业(保定)有限公司,115.208058,38.664857,1,0,0,0,0,0
12,泰安生产基地,蒙牛乳业泰安有限责任公司,117.12161,36.104386,1,0,1,1,0,0
13,焦作生产基地,蒙牛乳业(焦作)有限公司,113.27856,35.18183,1,0,1,1,0,0
14,宿迁生产基地,蒙牛乳业,118.225265,33.912794,1,0,0,0,0,0
15,金华生产基地,蒙牛乳业(金华)有限公司,119.409216,29.075794,1,0,1,0,0,0
16,马鞍山生产基地,蒙牛乳业公司,118.494447,31.658358,1,1,1,1,0,0
17,现代牧业蚌埠生产基地,现代牧业蚌埠牧场,117.970125,33.105705,1,0,0,0,0,0
18,现代牧业肥东生产基地,合肥蒙牛现代牧业乳制品有限公司,117.448487,32.095822,1,0,0,0,0,0
19,广东鲜奶生产基地,蒙牛工厂,116.695009,23.417665,0,1,0,0,0,0
20,广东（雅士利）生产基地,广东雅士利集团公司,116.699871,23.477502,0,0,0,0,1,0
21,清远生产基地,蒙牛乳业,113.055992,23.643362,0,0,1,1,0,0
22,友芝友生产基地,湖北友芝友乳业有限责任公司,114.174535,30.641616,1,0,0,0,0,0
23,武汉生产基地,蒙牛乳制品(武汉)有限责任公司,114.153496,30.699993,1,1,0,0,0,0
24,当阳生产基地,蒙牛乳业当阳有限责任公司,111.82355,30.842394,1,1,1,0,0,0
25,宝鸡生产基地,蒙牛乳业(宝鸡)有限公司,107.298743,34.348669,1,0,0,0,0,0
26,眉山生产基地,蒙牛乳制品(眉山)有限公司,103.870673,30.019054,1,0,1,0,0,0
27,新疆生产基地,新疆蒙牛乳业有限公司,87.402605,43.920594,1,0,0,1,0,0
28,塞北生产基地,蒙牛乳业塞北公司,115.827228,41.869745,1,0,0,0,0,0
29,察北生产基地,蒙牛乳业(察北),114.951269,41.418484,1,0,0,0,0,0
30,太原生产基地,蒙牛乳业(太原)有限公司,112.60477,37.72864,1,0,0,0,0,0
31,和林奶酪生产基地,内蒙古蒙牛奶酪有限责任公司,111.78865,40.483444,0,0,0,0,0,1
32,和林（高科）生产基地,内大圣牧奶牛高科基地,111.859615,40.551144,1,0,0,0,0,0
33,圣牧和林生产基地,圣牧乳业生产基地,111.813276,40.503024,1,0,0,0,0,0
34,和林（总部）生产基地,蒙牛乳业集团和林生产基地,111.788105,40.483278,1,0,1,1,1,1
35,包头生产基地,蒙牛乳业包头公司,109.902894,40.652432,1,0,0,0,0,0
36,巴盟生产基地,蒙牛乳业,107.008744,40.363974,1,0,0,0,0,0
37,圣牧巴盟生产基地,圣牧高科,107.063165,40.422783,1,0,0,0,0,0
38,银川生产基地,蒙牛乳业,106.105052,38.46171,1,0,0,0,0,0
